group	fill
1	#000000
2	#000000
3	#000000
4	#000000
5	#000000
6	#FFFFFF
7	#FFFFFF
8	#B4B4B4
9	#000000
10	#FFFFFF
11	#636363
12	#000000
13	#FFFFFF
14	#FFFFFF
15	#FFFFFF
16	#FFFFFF
17	#FFFFFF
18	#FFFFFF
19	#FFFFFF
20	#FFFFFF
21	#000000
22	#000000
23	#000000
24	#000000
25	#000000
26	#000000
27	#FFFFFF
28	#FFFFFF
29	#FFFFFF
30	#FFFFFF
31	#FFFFFF
32	#000000
33	#000000
34	#000000
35	#8B8B8B
36	#FFFFFF
37	#FFFFFF
38	#FFFFFF
39	#FFFFFF
40	#FFFFFF
41	#000000
42	#000000
43	#000000
44	#000000
45	#000000
46	#000000
47	#FFFFFF
48	#FFFFFF
49	#FFFFFF
50	#FFFFFF
51	#FFFFFF
52	#FFFFFF
53	#000000
54	#000000
55	#000000
56	#000000
57	#FFFFFF
58	#FFFFFF
59	#FFFFFF
60	#FFFFFF
61	#000000
62	#000000
63	#000000
64	#000000
65	#000000
66	#000000
67	#000000
68	#FFFFFF
69	#FFFFFF
70	#FFFFFF
71	#FFFFFF
72	#FFFFFF
73	#000000
74	#000000
75	#000000
76	#000000
77	#000000
78	#000000
79	#FFFFFF
80	#FFFFFF
81	#000000
82	#000000
83	#000000
84	#000000
85	#000000
86	#000000
87	#000000
88	#000000
89	#FFFFFF
90	#FFFFFF
91	#FFFFFF
92	#FFFFFF
93	#FFFFFF
94	#000000
95	#000000
96	#000000
97	#000000
98	#000000
99	#FFFFFF
100	#FFFFFF
101	#000000
102	#D0D0D0
103	#FFFFFF
104	#000000
105	#000000
106	#000000
107	#000000
108	#000000
109	#FFFFFF
110	#FFFFFF
111	#FFFFFF
112	#FFFFFF
113	#FFFFFF
114	#FFFFFF
115	#000000
116	#000000
117	#FFFFFF
118	#FFFFFF
119	#FFFFFF
120	#FFFFFF
121	#000000
122	#FFFFFF
123	#FFFFFF
124	#FFFFFF
125	#373737
126	#000000
127	#000000
128	#000000
129	#000000
130	#FFFFFF
131	#FFFFFF
132	#FFFFFF
133	#FFFFFF
134	#FFFFFF
135	#FFFFFF
136	#FFFFFF
137	#FFFFFF
138	#FFFFFF
139	#000000
140	#FFFFFF
141	#4A4A4A
142	#FFFFFF
143	#FFFFFF
144	#FFFFFF
145	#FFFFFF
146	#000000
147	#000000
148	#000000
149	#000000
150	#000000
151	#FFFFFF
152	#FFFFFF
153	#FFFFFF
154	#FFFFFF
155	#FFFFFF
156	#FFFFFF
157	#FFFFFF
158	#000000
159	#000000
160	#7C7C7C
161	#888888
162	#FFFFFF
163	#FFFFFF
164	#FFFFFF
165	#FFFFFF
166	#FFFFFF
167	#000000
168	#000000
169	#000000
170	#000000
171	#FFFFFF
172	#FFFFFF
173	#FFFFFF
174	#FFFFFF
175	#FFFFFF
176	#FFFFFF
177	#FFFFFF
178	#FFFFFF
179	#505050
180	#545454
181	#D4D4D4
182	#FFFFFF
183	#FFFFFF
184	#FFFFFF
185	#FFFFFF
186	#FFFFFF
187	#000000
188	#000000
189	#000000
190	#000000
191	#FFFFFF
192	#FFFFFF
193	#FFFFFF
194	#FFFFFF
195	#FFFFFF
196	#FFFFFF
197	#FFFFFF
198	#FFFFFF
199	#FFFFFF
200	#000000
201	#000000
202	#000000
203	#000000
204	#DCDCDC
205	#FFFFFF
206	#FFFFFF
207	#FFFFFF
208	#000000
209	#000000
210	#000000
211	#000000
212	#FFFFFF
213	#FFFFFF
214	#FFFFFF
215	#FFFFFF
216	#000000
217	#000000
218	#000000
219	#000000
220	#000000
221	#000000
222	#000000
223	#000000
224	#000000
225	#FFFFFF
226	#FFFFFF
227	#FFFFFF
228	#000000
229	#000000
230	#000000
231	#000000
232	#000000
233	#FFFFFF
234	#FFFFFF
235	#FFFFFF
236	#000000
237	#000000
238	#000000
239	#000000
240	#000000
241	#000000
242	#000000
243	#FFFFFF
244	#FFFFFF
245	#FFFFFF
246	#FFFFFF
247	#FFFFFF
248	#000000
249	#000000
250	#000000
251	#000000
252	#000000
253	#000000
254	#000000
255	#FFFFFF
256	#C1C1C1
257	#000000
258	#000000
259	#000000
260	#1F1F1F
261	#FFFFFF
262	#FFFFFF
263	#FFFFFF
264	#FFFFFF
265	#FFFFFF
266	#FFFFFF
267	#FFFFFF
268	#E6E6E6
269	#000000
270	#000000
271	#000000
272	#000000
273	#000000
274	#000000
275	#000000
276	#FFFFFF
277	#9E9E9E
278	#000000
279	#000000
280	#8F8F8F
281	#FFFFFF
282	#FFFFFF
283	#FFFFFF
284	#FFFFFF
285	#FFFFFF
286	#FFFFFF
287	#FFFFFF
288	#FFFFFF
289	#595959
290	#000000
291	#000000
292	#000000
293	#000000
294	#000000
295	#000000
296	#111111
297	#CBCBCB
298	#030303
299	#000000
300	#FFFFFF
301	#FFFFFF
302	#FFFFFF
303	#FFFFFF
304	#FFFFFF
305	#FFFFFF
