group	fill
1	#000000
2	#000000
3	#000000
4	#000000
5	#000000
6	#000000
7	#000000
8	#4C4C4C
9	#333333
10	#888888
11	#626262
12	#000000
13	#000000
14	#5D5D5D
15	#717171
16	#343434
17	#000000
18	#000000
19	#000000
20	#FFFFFF
21	#000000
22	#000000
23	#000000
24	#000000
25	#111111
26	#6F6F6F
27	#717171
28	#FFFFFF
29	#888888
30	#434343
31	#6E6E6E
32	#181818
33	#0A0A0A
34	#4A4A4A
35	#393939
36	#000000
37	#000000
38	#000000
39	#FFFFFF
40	#FFFFFF
41	#000000
42	#000000
43	#000000
44	#000000
45	#545454
46	#FFFFFF
47	#FFFFFF
48	#FFFFFF
49	#FFFFFF
50	#B6B6B6
51	#848484
52	#4A4A4A
53	#353535
54	#686868
55	#565656
56	#4A4A4A
57	#000000
58	#FFFFFF
59	#FFFFFF
60	#FFFFFF
61	#FFFFFF
62	#000000
63	#000000
64	#000000
65	#323232
66	#FFFFFF
67	#FFFFFF
68	#FFFFFF
69	#FFFFFF
70	#FFFFFF
71	#FFFFFF
72	#FFFFFF
73	#FFFFFF
74	#FFFFFF
75	#FFFFFF
76	#FFFFFF
77	#FFFFFF
78	#FFFFFF
79	#FFFFFF
80	#B3B3B3
81	#FFFFFF
82	#BBBBBB
83	#000000
84	#000000
85	#000000
86	#DBDBDB
87	#FFFFFF
88	#FFFFFF
89	#FFFFFF
90	#FFFFFF
91	#FFFFFF
92	#FFFFFF
93	#FFFFFF
94	#FFFFFF
95	#FFFFFF
96	#FFFFFF
97	#FFFFFF
98	#CBCBCB
99	#151515
100	#555555
101	#FFFFFF
102	#FFFFFF
103	#000000
104	#000000
105	#000000
106	#1B1B1B
107	#FFFFFF
108	#FFFFFF
109	#FFFFFF
110	#FFFFFF
111	#FFFFFF
112	#FFFFFF
113	#FFFFFF
114	#FFFFFF
115	#FFFFFF
116	#B2B2B2
117	#000000
118	#000000
119	#000000
120	#636363
121	#535353
122	#FEFEFE
123	#AEAEAE
124	#000000
125	#000000
126	#000000
127	#FFFFFF
128	#FFFFFF
129	#FFFFFF
130	#FFFFFF
131	#FFFFFF
132	#FFFFFF
133	#FFFFFF
134	#FFFFFF
135	#9C9C9C
136	#000000
137	#000000
138	#000000
139	#000000
140	#555555
141	#434343
142	#FFFFFF
143	#FFFFFF
144	#FFFFFF
145	#A4A4A4
146	#C4C4C4
147	#FFFFFF
148	#FFFFFF
149	#FFFFFF
150	#FFFFFF
151	#FFFFFF
152	#FFFFFF
153	#FFFFFF
154	#FFFFFF
155	#FFFFFF
156	#AAAAAA
157	#000000
158	#000000
159	#000000
160	#212121
161	#606060
162	#FFFFFF
163	#FFFFFF
164	#FFFFFF
165	#FFFFFF
166	#B9B9B9
167	#414141
168	#E3E3E3
169	#FFFFFF
170	#FFFFFF
171	#FFFFFF
172	#FFFFFF
173	#FFFFFF
174	#FFFFFF
175	#FFFFFF
176	#FFFFFF
177	#FFFFFF
178	#B9B9B9
179	#4E4E4E
180	#424242
181	#F8F8F8
182	#FFFFFF
183	#FFFFFF
184	#FFFFFF
185	#FFFFFF
186	#FFFFFF
187	#000000
188	#000000
189	#000000
190	#000000
191	#000000
192	#000000
193	#8B8B8B
194	#FFFFFF
195	#FFFFFF
196	#FFFFFF
197	#FFFFFF
198	#FFFFFF
199	#000000
200	#000000
201	#A0A0A0
202	#FFFFFF
203	#FFFFFF
204	#FFFFFF
205	#FFFFFF
206	#FFFFFF
207	#000000
208	#000000
209	#000000
210	#000000
211	#000000
212	#000000
213	#000000
214	#FFFFFF
215	#FFFFFF
216	#FFFFFF
217	#FFFFFF
218	#FFFFFF
219	#000000
220	#000000
221	#545454
222	#D7D7D7
223	#FFFFFF
224	#FFFFFF
225	#FFFFFF
226	#FFFFFF
227	#000000
228	#000000
229	#000000
230	#000000
231	#000000
232	#000000
233	#000000
234	#000000
235	#FFFFFF
236	#FFFFFF
237	#FFFFFF
238	#FFFFFF
239	#BEBEBE
240	#000000
241	#696969
242	#D0D0D0
243	#FFFFFF
244	#FFFFFF
245	#FFFFFF
246	#000000
247	#000000
248	#000000
249	#000000
250	#000000
251	#000000
252	#000000
253	#000000
254	#000000
255	#000000
256	#FFFFFF
257	#FFFFFF
258	#FFFFFF
259	#AEAEAE
260	#000000
261	#CECECE
262	#FFFFFF
263	#FFFFFF
264	#FFFFFF
265	#000000
266	#000000
267	#000000
268	#000000
269	#000000
270	#000000
271	#000000
272	#000000
273	#000000
274	#000000
275	#000000
276	#A0A0A0
277	#F2F2F2
278	#AAAAAA
279	#535353
280	#000000
281	#FFFFFF
282	#FFFFFF
283	#E3E3E3
284	#000000
285	#000000
286	#000000
287	#000000
288	#000000
289	#000000
290	#000000
291	#000000
292	#000000
293	#000000
294	#000000
295	#000000
296	#000000
297	#9C9C9C
298	#696969
299	#1B1B1B
300	#000000
301	#FFFFFF
302	#BABABA
303	#000000
304	#000000
305	#000000
