group	fill
1	#F6F6F6
2	#D1D1D1
3	#AEAEAE
4	#909090
5	#777777
6	#656565
7	#5B5B5B
8	#585858
9	#5A5A5A
10	#5E5E5E
11	#5C5C5C
12	#525252
13	#454545
14	#3D3D3D
15	#404040
16	#4D4D4D
17	#686868
18	#FFFFFF
19	#FFFFFF
20	#FFFFFF
21	#F8F8F8
22	#D7D7D7
23	#B6B6B6
24	#989898
25	#7E7E7E
26	#6B6B6B
27	#5E5E5E
28	#565656
29	#535353
30	#4F4F4F
31	#454545
32	#353535
33	#252525
34	#202020
35	#262626
36	#373737
37	#737373
38	#FFFFFF
39	#FFFFFF
40	#FFFFFF
41	#F4F4F4
42	#D6D6D6
43	#B9B9B9
44	#9C9C9C
45	#828282
46	#6D6D6D
47	#5D5D5D
48	#525252
49	#494949
50	#3D3D3D
51	#2B2B2B
52	#171717
53	#000000
54	#000000
55	#060606
56	#1D1D1D
57	#B6B6B6
58	#FFFFFF
59	#FFFFFF
60	#FFFFFF
61	#EAEAEA
62	#D1D1D1
63	#B7B7B7
64	#9C9C9C
65	#838383
66	#6D6D6D
67	#5B5B5B
68	#4B4B4B
69	#3B3B3B
70	#282828
71	#0F0F0F
72	#000000
73	#000000
74	#000000
75	#000000
76	#000000
77	#FDFDFD
78	#FFFFFF
79	#F9F9F9
80	#878787
81	#DEDEDE
82	#C9C9C9
83	#B2B2B2
84	#9A9A9A
85	#828282
86	#6B6B6B
87	#565656
88	#414141
89	#2B2B2B
90	#101010
91	#000000
92	#000000
93	#000000
94	#000000
95	#000000
96	#000000
97	#727272
98	#717171
99	#474747
100	#434343
101	#D1D1D1
102	#C0C0C0
103	#ADADAD
104	#979797
105	#808080
106	#686868
107	#505050
108	#363636
109	#191919
110	#000000
111	#000000
112	#000000
113	#000000
114	#000000
115	#000000
116	#000000
117	#000000
118	#121212
119	#1F1F1F
120	#313131
121	#C6C6C6
122	#B9B9B9
123	#A8A8A8
124	#949494
125	#7E7E7E
126	#656565
127	#494949
128	#292929
129	#000000
130	#000000
131	#000000
132	#000000
133	#000000
134	#000000
135	#000000
136	#000000
137	#000000
138	#000000
139	#141414
140	#2A2A2A
141	#C1C1C1
142	#B6B6B6
143	#A7A7A7
144	#949494
145	#7E7E7E
146	#626262
147	#414141
148	#161616
149	#000000
150	#000000
151	#000000
152	#000000
153	#000000
154	#000000
155	#000000
156	#000000
157	#000000
158	#000000
159	#0E0E0E
160	#272727
161	#C2C2C2
162	#B8B8B8
163	#AAAAAA
164	#989898
165	#7F7F7F
166	#5C5C5C
167	#2C2C2C
168	#000000
169	#000000
170	#000000
171	#000000
172	#000000
173	#000000
174	#000000
175	#000000
176	#000000
177	#000000
178	#000000
179	#0C0C0C
180	#252525
181	#CACACA
182	#C0C0C0
183	#B2B2B2
184	#9C9C9C
185	#7A7A7A
186	#414141
187	#000000
188	#000000
189	#000000
190	#000000
