colour	x	y	group	showSelectedlegendcolour	PANEL
#0000FF	0.477121254719662	3.35670023591129	1	subtrain	1
#0000FF	0.602059991327962	2.78093887759206	1	subtrain	1
#0000FF	0.698970004336019	1.49717958267528	1	subtrain	1
#0000FF	0.845098040014257	0.886958487722936	1	subtrain	1
#0000FF	1	0.878239602638501	1	subtrain	1
#0000FF	1.14612803567824	0.795706591408833	1	subtrain	1
#0000FF	1.27875360095283	0.748951139296232	1	subtrain	1
#0000FF	1.41497334797082	0.72034953842599	1	subtrain	1
#0000FF	1.54406804435028	0.38861719447752	1	subtrain	1
#0000FF	1.68124123737559	0.366507496632602	1	subtrain	1
#0000FF	1.81291335664286	0.31226843903908	1	subtrain	1
#0000FF	1.94448267215017	0.282938684312	1	subtrain	1
#0000FF	2.07554696139253	0.281896562227869	1	subtrain	1
#0000FF	2.20951501454263	0.27800148400005	1	subtrain	1
#0000FF	2.34044411484012	0.239958525987347	1	subtrain	1
#0000FF	2.47275644931721	0.273710457725165	1	subtrain	1
#0000FF	2.60422605308447	0.180984361126693	1	subtrain	1
#0000FF	2.73639650227664	0.17319381364656	1	subtrain	1
#0000FF	2.86805636182304	0.155384899416294	1	subtrain	1
#0000FF	3	0.0766676255297019	1	subtrain	1
#00BFFF	0.477121254719662	3.52070186643037	2	validation	1
#00BFFF	0.602059991327962	2.64168284371117	2	validation	1
#00BFFF	0.698970004336019	1.05994231172497	2	validation	1
#00BFFF	0.845098040014257	0.533480878223687	2	validation	1
#00BFFF	1	0.516848245860046	2	validation	1
#00BFFF	1.14612803567824	0.488831907660612	2	validation	1
#00BFFF	1.27875360095283	0.475471705929017	2	validation	1
#00BFFF	1.41497334797082	0.557570189907416	2	validation	1
#00BFFF	1.54406804435028	0.582588342424196	2	validation	1
#00BFFF	1.68124123737559	0.494761745183408	2	validation	1
#00BFFF	1.81291335664286	0.342738652093357	2	validation	1
#00BFFF	1.94448267215017	0.299395473098886	2	validation	1
#00BFFF	2.07554696139253	0.300873823409683	2	validation	1
#00BFFF	2.20951501454263	0.296536745750624	2	validation	1
#00BFFF	2.34044411484012	0.424610002488974	2	validation	1
#00BFFF	2.47275644931721	0.29428238675934	2	validation	1
#00BFFF	2.60422605308447	0.687238350343575	2	validation	1
#00BFFF	2.73639650227664	0.4961934286668	2	validation	1
#00BFFF	2.86805636182304	0.617949549959374	2	validation	1
#00BFFF	3	1.34210508440914	2	validation	1
#0000FF	0.477121254719662	1.02932771747922	1	subtrain	2
#0000FF	0.602059991327962	20.6034575349606	1	subtrain	2
#0000FF	0.698970004336019	0.403312305507997	1	subtrain	2
#0000FF	0.845098040014257	0.600582552906901	1	subtrain	2
#0000FF	1	0.480917342242003	1	subtrain	2
#0000FF	1.14612803567824	0.291574630196728	1	subtrain	2
#0000FF	1.27875360095283	0.277759957818399	1	subtrain	2
#0000FF	1.41497334797082	0.277568589534163	1	subtrain	2
#0000FF	1.54406804435028	0.277317702265647	1	subtrain	2
#0000FF	1.68124123737559	0.2720055693699	1	subtrain	2
#0000FF	1.81291335664286	0.233327913700358	1	subtrain	2
#0000FF	1.94448267215017	0.179526900338996	1	subtrain	2
#0000FF	2.07554696139253	0.14763964997838	1	subtrain	2
#0000FF	2.20951501454263	0.0533624938497085	1	subtrain	2
#0000FF	2.34044411484012	0.0692689040897955	1	subtrain	2
#0000FF	2.47275644931721	0.014861072064268	1	subtrain	2
#0000FF	2.60422605308447	0.0168427150027668	1	subtrain	2
#0000FF	2.73639650227664	0.00849439570197109	1	subtrain	2
#0000FF	2.86805636182304	0.00558600542826472	1	subtrain	2
#0000FF	3	0.00500898621633839	1	subtrain	2
#00BFFF	0.477121254719662	1.34215349299213	2	validation	2
#00BFFF	0.602059991327962	21.6333799623979	2	validation	2
#00BFFF	0.698970004336019	0.558284099217625	2	validation	2
#00BFFF	0.845098040014257	0.757801679458369	2	validation	2
#00BFFF	1	0.743781207457724	2	validation	2
#00BFFF	1.14612803567824	0.312757658891233	2	validation	2
#00BFFF	1.27875360095283	0.298492745661704	2	validation	2
#00BFFF	1.41497334797082	0.293828762977759	2	validation	2
#00BFFF	1.54406804435028	0.308241111617706	2	validation	2
#00BFFF	1.68124123737559	0.320851224514762	2	validation	2
#00BFFF	1.81291335664286	0.462733971455504	2	validation	2
#00BFFF	1.94448267215017	0.470750599595158	2	validation	2
#00BFFF	2.07554696139253	12.9951440082004	2	validation	2
#00BFFF	2.20951501454263	21.6333799623979	2	validation	2
#00BFFF	2.34044411484012	3.04876748355675	2	validation	2
#00BFFF	2.47275644931721	21.6333799623979	2	validation	2
#00BFFF	2.60422605308447	21.6333799623979	2	validation	2
#00BFFF	2.73639650227664	21.6333799623979	2	validation	2
#00BFFF	2.86805636182304	21.6333799623979	2	validation	2
#00BFFF	3	21.6333799623979	2	validation	2
