colour	x	y	group	showSelectedlegendcolour	showSelected.variable	showSelected.value	PANEL
#EE82EE	0	1.10499310824741	1	prediction	degrees01	3	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	4	1
#EE82EE	0	0.902940524887799	1	prediction	degrees01	5	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	7	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	10	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	14	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	19	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	26	1
#EE82EE	0	0.510229737396783	1	prediction	degrees01	35	1
#EE82EE	0	0.309721791923515	1	prediction	degrees01	48	1
#EE82EE	0	0.962707503285071	1	prediction	degrees01	65	1
#EE82EE	0	0.884128492314442	1	prediction	degrees01	88	1
#EE82EE	0	0.795586581958768	1	prediction	degrees01	119	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	162	1
#EE82EE	0	0.929015028276545	1	prediction	degrees01	219	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	297	1
#EE82EE	0	0.592685369359087	1	prediction	degrees01	402	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	545	1
#EE82EE	0	0.439694640352853	1	prediction	degrees01	738	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	1000	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	3	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	4	1
#EE82EE	0.0411749342441592	0.902869834462459	1	prediction	degrees01	5	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	7	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	10	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	14	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	19	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	26	1
#EE82EE	0.0411749342441592	0.510555470866029	1	prediction	degrees01	35	1
#EE82EE	0.0411749342441592	0.310227402053483	1	prediction	degrees01	48	1
#EE82EE	0.0411749342441592	0.96266339020145	1	prediction	degrees01	65	1
#EE82EE	0.0411749342441592	0.884042368483586	1	prediction	degrees01	88	1
#EE82EE	0.0411749342441592	0.79561348252772	1	prediction	degrees01	119	1
#EE82EE	0.0411749342441592	-0.0937698715198084	1	prediction	degrees01	162	1
#EE82EE	0.0411749342441592	0.929138575128411	1	prediction	degrees01	219	1
#EE82EE	0.0411749342441592	-0.0937698715198084	1	prediction	degrees01	297	1
